resolution	cluster	n_cells	entropy	top_lineage	margin	top_unbiased_genes	astro_glial	radial_glia	opc	oligo_mature	neuronal	myeloid	t_cell	endothelial	proliferation
res0.3	8	118007	0.24279368565056	radial_glia	0.102307713488311	CXCL14, PAX6, FGFR3, DNER, RGS16	-0.005897939859187	0.172032407799708	-0.0541555393870993	0.00293107129931364	0.0697246943113972	-0.0275340115218996	-0.00464411724169167	-0.0177480078051804	0.00817736580336476
res0.3	14	27909	0.785219947497137	oligo_mature	0.11627448326405	ERMN, MOG, CNDP1, UGT8, CLDN11	-0.0355213930305565	-0.0698597033685051	-0.00901772829121707	0.107256754972833	-0.026180753278193	-0.0213139657551072	-0.0124878455860745	-0.0213756085464757	-0.0157033436823974
res0.3	6	156897	0.389991747069137	radial_glia	0.116745422315174	PAX6, FGFR3, SOX4, LAMP5, MEIS2	-0.0174071291336998	0.135392012311906	-0.0400316520297207	-0.00327630432424944	0.00921652402109139	-0.0304001431443233	-0.00956613535452854	-0.0164565796828623	0.0186465899967314
res0.3	7	153355	0.954216436022643	myeloid	0.131313438314802	AIF1, GPR34, RNASET2, APOE, FCER1G	0.0342380598313148	-0.127626073182719	-0.0207316748895775	-0.0104150174286997	-0.0400035088256911	0.182223243420355	0.0307711873198127	0.0509098051055529	-0.0134266925449469
res0.3	13	28880	0.683513330421454	proliferation	0.142234565446461	TOP2A, MKI67, SOX4, COL25A1, CENPF	-0.0664119095548166	-0.00897433186334132	-0.0453383395656004	-0.00404862262143555	-0.00758508959517411	-0.0204004762711247	-0.00407509959091089	-0.0147081822385577	0.138185942825026
res0.3	10	112579	0.896606863851147	endothelial	0.201817953572021	IFITM3, DCN, FLT1, IGFBP4, PECAM1	-0.00150546644786768	-0.13523004628985	-0.0365464210298337	-0.00426502579476838	-0.0451789164144736	0.000958090385381499	0.00255235313677336	0.204370306708794	-0.017113739630161
res0.3	2	189149	0.779872331372142	astro_glial	0.238218860744315	AQP4, APOE, GJA1, PTPRZ1, TTYH1	0.322546369332244	0.0203045588674137	0.0843275085879292	-0.00657637867269072	-0.0140258025338887	-0.0010297858599823	-0.0166224386746505	-0.0284121437046991	-0.010003428598039
res0.3	3	182953	0.901156405626227	opc	0.2388337111669	PTPRZ1, OLIG1, SEMA5A, OLIG2, VCAN	0.04212381809269	-0.0353804343711662	0.28095752925959	0.00966583028488595	0.0289759070864481	0.0105517224579735	-0.0146981576640541	-0.0271527803314357	-0.00100542414314563
res0.3	16	203	0.0819919731370806	opc	0.267318459102355	PTPRZ1, SOX10, SEMA5A, OLIG1, GPNMB	0.0527086768731124	-0.0829982411165951	0.335056707259551	0.0580150223484122	0.0221396855408411	0.067738248157196	0.00464030063743677	-0.00536400315534141	0.0104133858717305
res0.4	9	113684	0.559314079441734	t_cell	0.00036407796665274	COL25A1, RGS16, FGFR2, NTNG2, TRPC6	-0.056350313755683	-0.0177175753285135	-0.0367072652223476	0.00865817284654166	-0.00657852863403401	-0.0101033895296065	0.0090222508131944	0.00530238155647495	0.00634191258139946
res0.4	3	186095	0.552060081850047	neuronal	0.000492233104676507	APP, RELN, SOX4, DNER, SOX9	-0.095088023002247	-0.0198346027959203	-0.0661295505406992	-0.0121126830051352	-0.0116204499004587	-0.0355585635192037	-0.0139079995443153	-0.0352022784982597	-0.0153988270695124
res0.4	15	19704	0.295462751778763	oligo_mature	0.000946136206321738	IGFBP5, RELN, GNLY, NPFFR2, CTNNA3	-0.0949640958181453	-0.0585487013800221	-0.065448727022099	-0.0130264109065163	-0.0332263589760088	-0.0361417957898729	-0.013972547112838	-0.0355789189099518	-0.0267025358612913
res0.4	16	18690	0.206046056592415	t_cell	0.00200813892607145	NR4A2, FGFR3, RGS16, COL25A1, B4GALNT1	-0.0729575865935437	-0.0289356178414736	-0.0568007301361045	-0.0054253060415134	-0.0244245499673363	-0.0247010508941498	-0.00341716711544195	-0.019449294450242	-0.0142677360273642
res0.4	19	113	0.709836019400687	oligo_mature	0.00483589934473914	PTCHD4, ANK1, IDO1, GNLY, CRHBP	-0.100415211734965	-0.150184866939836	-0.070600187012342	-0.0190235041833806	-0.0510778723676219	-0.0398229182470687	-0.0238594035281197	-0.0415074821354443	-0.0358020845687195
res0.4	22	65	0.671025942436082	oligo_mature	0.00601959554702156	SST, TAC1, MEPE, SAMD5, SDK1	-0.0916533106021345	-0.123636895272488	-0.0717461483743345	-0.0190229974360966	-0.0517762925936946	-0.041454025476246	-0.0250425929831182	-0.0373424259062455	-0.0348603244841457
res0.4	21	88	0.290942223354079	oligo_mature	0.00601967238224623	APP, COL25A1, TRPC5, GNLY, CRHBP	-0.107506431576297	-0.15853065289917	-0.072941999310417	-0.0190232402491347	-0.0543515420991417	-0.0414545546030515	-0.0250429126313809	-0.0415069062559485	-0.0370992393101347
res0.4	20	98	0.166070123902582	oligo_mature	0.00601970578947747	B4GALNT1, APP, GNLY, CRHBP, TRPC5	-0.107507028202158	-0.161878637642718	-0.0729424041148786	-0.0190233458219542	-0.0543803803972973	-0.0414547846623975	-0.0250430516114317	-0.0415071366058293	-0.0370994451988921
res0.4	17	261	0.617185387459159	oligo_mature	0.00680000210733989	SNTB2, GNLY, CRHBP, TRPC5, CTNNA3	-0.0921013554341895	-0.126456316315431	-0.0694909289347561	-0.018245315096436	-0.0485964584284094	-0.0400976689196503	-0.0250453172037759	-0.0395072436185786	-0.0333015595956859
res0.4	5	156702	0.399237341127418	neuronal	0.0156869520562744	NNAT, RELN, SOX4, FBLN1, SOX11	-0.0924071627169578	-0.0525806324893675	-0.0617046669651823	-0.00935800708374537	0.00844502525251824	-0.0280520880818021	-0.0108912986769637	-0.0274351168097558	-0.00724192680375615
res0.4	11	38175	0.707310487767662	neuronal	0.0209159748609091	SLC17A7, CRYM, APP, C1QL3, HS3ST2	0.0379544854794778	-0.0801596895312321	-0.000755400371653194	-0.00259547174502346	0.0588704603403868	-0.0135246022132503	-0.0147662048102305	-0.0107447259652627	0.00635375647688967
res0.4	1	264632	0.134058590764312	radial_glia	0.0607102520687071	RELN, FGFR3, APP, IGFBP5, COL25A1	-0.0930210363916121	0.0807979420357381	-0.056203919985831	0.00818370569751551	0.00515456288002465	-0.0244043998744867	0.020087689967031	-0.0133228040308037	0.0104506273199786
res0.4	12	34193	0.765225065499979	t_cell	0.0742475313719186	CD2, TRAC, CD48, PTPRC, CCL5	-0.065476319028447	-0.069959085574423	-0.0491708184060801	-0.0066025613413401	-0.0265787554074826	-0.0142361520627056	0.0676449700305785	-0.0118682732837835	-0.0113810188621479
