cell_type	histology	n_samples	estimate_log_odds	se	p_value	model_status	status_reason	warning_log	fit_error	q_value	ci_low	ci_high	sign_call
oligo_mature	central neurocytoma	2	-0.0913938127524216	0.497293309175743	0.854184077130072	pass	none	""		0.923442245546023	-1.06608869873688	0.883301073232035	not_significant
oligo_mature	cerebellar liponeurocytoma	3	0.744500410266619	0.3364948203159	0.0269309834274872	pass	none	""		0.0979308488272262	0.084970562447456	1.40403025808578	enriched
oligo_mature	ganglioglioma	2	0.607686231580623	0.401613606655931	0.130251297992593	pass	none	""		0.289447328872429	-0.179476437465001	1.39484890062625	not_significant
oligo_mature	pilocytic astrocytoma	4	-0.962329269239662	0.363894139136808	0.00818042545509272	pass	none	""		0.0363574464670787	-1.67556178194781	-0.249096756531518	depleted
opc	central neurocytoma	2	-1.08729714879446	0.806193616187418	0.177439795132996	pass	none	""		0.317041768806464	-2.6674366365218	0.492842338932877	not_significant
opc	cerebellar liponeurocytoma	3	-0.867271286654717	0.693448998616518	0.211057306723966	pass	none	""		0.351762177873277	-2.22643132394309	0.491888750633657	not_significant
opc	ganglioglioma	2	-0.211314229066118	0.804648890346155	0.792846033885634	pass	none	""		0.906109753012153	-1.78842605414458	1.36579759601235	not_significant
opc	pilocytic astrocytoma	4	2.97042638249773	0.289121753289517	9.2331413925097e-25	pass	none	""		1.84662827850194e-23	2.40374774605028	3.53710501894519	enriched
proliferation	central neurocytoma	2	0.757843142954959	0.510303724157141	0.137521964715968	pass	none	""		0.289519925717827	-0.242352156393038	1.75803844230295	not_significant
proliferation	cerebellar liponeurocytoma	3	1.46930711886738	0.350950559021435	2.83102002899345e-05	pass	none	""		0.000226481602319476	0.781444023185373	2.1571702145494	enriched
proliferation	ganglioglioma	2	-0.899814816195121	0.674670673321961	0.182299017063717	pass	none	""		0.317041768806464	-2.22216933590616	0.422539703515922	not_significant
proliferation	pilocytic astrocytoma	4	-0.775479609018953	0.497410476143346	0.118988445069742	pass	none	""		0.279972811928804	-1.75040414225991	0.199444924222006	not_significant
radial_glia	central neurocytoma	2	5.04904659586787	0.456830577626761	2.13575606009929e-28	pass	none	""		8.54302424039715e-27	4.15365866371942	5.94443452801633	enriched
radial_glia	cerebellar liponeurocytoma	3	0.298651782165222	0.753004013650476	0.691652275636317	pass	none	""		0.838366394710687	-1.17723608458971	1.77453964892015	not_significant
radial_glia	ganglioglioma	2	0.0279322560359723	0.864583085098797	0.974227069842065	pass	none	""		0.974227069842065	-1.66665059075767	1.72251510282961	not_significant
radial_glia	pilocytic astrocytoma	4	-1.28437104486382	0.682751018169896	0.0599487351096875	pass	none	""		0.171282100313393	-2.62256304047681	0.0538209507491814	depleted
t_cell	central neurocytoma	2	0.0590616841062013	0.498304817754219	0.905651519698472	pass	none	""		0.931891874494603	-0.917615758692068	1.03573912690447	not_significant
t_cell	cerebellar liponeurocytoma	3	0.923883547407083	0.323104042769717	0.00424443846521392	pass	none	""		0.0212221923260696	0.290599623578438	1.55716747123573	enriched
t_cell	ganglioglioma	2	-0.307109929655672	0.535485948335975	0.566295153332692	pass	none	""		0.730703423655087	-1.35666238839418	0.742442529082839	not_significant
t_cell	pilocytic astrocytoma	4	-0.546596921837129	0.409130688082932	0.181550613417373	pass	none	""		0.317041768806464	-1.34849307047968	0.255299226805417	not_significant
undetermined	central neurocytoma	2	0.530672582987623	0.634644602184721	0.40305767226769	pass	none	""		0.575796674668128	-0.713230837294429	1.77457600326968	not_significant
undetermined	cerebellar liponeurocytoma	3	1.50321598566195	0.461014093729735	0.00111148329419666	pass	none	""		0.00740988862797774	0.599628361951669	2.40680360937223	enriched
undetermined	ganglioglioma	2	-0.327599602910985	0.705028328224183	0.642173799494123	pass	none	""		0.802717249367653	-1.70945512623038	1.05425592040841	not_significant
