niche_type	histology	n_samples	estimate_log_odds	se	p_value	model_status	status_reason	warning_log	fit_error	q_value	ci_low	ci_high	sign_call
3	central neurocytoma	2	-0.359434778142621	0.544143819439319	0.508900261571486	pass	none	""		0.887891107332216	-1.42595666424369	0.707087107958444	not_significant
3	cerebellar liponeurocytoma	3	-0.105313115658725	0.459228238530605	0.818615308811221	pass	none	""		0.999893466392477	-1.00540046317871	0.794774231861261	not_significant
3	ganglioglioma	2	-1.04042336393515	0.543917899506721	0.0557696101132173	pass	none	""		0.250963245509478	-2.10650244696832	0.0256557190980251	not_significant
3	pilocytic astrocytoma	4	1.1028465551929	0.291024792113965	0.000150933888994232	pass	none	""		0.00181120666793078	0.532437962649531	1.67325514773627	enriched
4	central neurocytoma	2	-0.761871965624111	0.604857588024807	0.207817665026466	pass	none	""		0.623452995079399	-1.94739283815273	0.423648906904512	not_significant
4	cerebellar liponeurocytoma	3	0.358476771722069	0.444593072258577	0.420068104368163	pass	none	""		0.887891107332216	-0.512925649904743	1.22987919334888	not_significant
4	ganglioglioma	2	1.24061812871196	0.34927160272452	0.000382292414344135	pass	none	""		0.00393215054753967	0.556045787371903	1.92519047005202	enriched
4	pilocytic astrocytoma	4	-0.456070732707747	0.445389982367484	0.305844404958603	pass	none	""		0.734026571900647	-1.32903509814802	0.416893632732522	not_significant
5	central neurocytoma	2	-0.961218325922524	0.762037593334577	0.207172279398974	pass	none	""		0.623452995079399	-2.4548120088583	0.532375357013247	not_significant
5	cerebellar liponeurocytoma	3	-0.424090087180725	0.642410595330049	0.509154845472356	pass	none	""		0.887891107332216	-1.68321485402762	0.83503467966617	not_significant
5	ganglioglioma	2	-0.520289504286931	0.750933899531897	0.488399551577248	pass	none	""		0.887891107332216	-1.99211994736945	0.951540938795587	not_significant
5	pilocytic astrocytoma	4	2.58285331478444	0.354569384056834	3.22915211811457e-13	pass	none	""		1.16249476252125e-11	1.88789732203304	3.27780930753583	enriched
6	central neurocytoma	2	1.61571325502259	0.383687912008059	2.54232603701696e-05	pass	none	""		0.000522037370971575	0.863684947486794	2.36774156255839	enriched
6	cerebellar liponeurocytoma	3	0.658807524336031	0.48929780643229	0.178162380203802	pass	none	""		0.583076880666989	-0.300216176271256	1.61783122494332	not_significant
6	ganglioglioma	2	-0.988502882190528	0.692514533009129	0.153461453652552	pass	none	""		0.526153555380179	-2.34583136688842	0.368825602507365	not_significant
6	pilocytic astrocytoma	4	-0.580324322263203	0.512422590968746	0.257419579320794	pass	none	""		0.674249028828627	-1.58467260056195	0.42402395603554	not_significant
7	central neurocytoma	2	-0.13512963152863	0.702521623912217	0.847468504338104	pass	none	""		0.999893466392477	-1.51207201439658	1.24181275133932	not_significant
7	cerebellar liponeurocytoma	3	-0.0918858380445241	0.604358600367064	0.879156487808522	pass	none	""		0.999893466392477	-1.27642869476397	1.09265701867492	not_significant
7	ganglioglioma	2	-0.227137237011859	0.708245385646849	0.748434599241762	pass	none	""		0.999893466392477	-1.61529819287968	1.16102371885597	not_significant
7	pilocytic astrocytoma	4	0.333889270596657	0.546133977943728	0.540955457996796	pass	none	""		0.905785883157426	-0.736533326173049	1.40431186736636	not_significant
